,AMTM,APBJ,AKSM,BSC,BTS,BMSC,BBP,DCM,EP,F88,GDSM,GEM,HSC,IC,IPKL,IM,KFW,IKEC,KGM,L10,LK,MSM,MVM,LBBCC,MSC,NSSM,PBJ,PDH,PKL,PC,PLY,PSP,PPSM,QCMKL,SCM,SKL,TS,SWP,SPM,SVM,SK,TGM,TLK,TW
AMTM,-1,14.5,7.6,13,4,15.2,-1,-1,14.8,5.4,17.7,6.5,14.7,-1,-1,6.7,3.6,11.5,11.7,-1,20.3,17.2,11,3.7,1.6,10.3,-1,12,-1,-1,-1,9.9,3.2,-1,14.3,8.7,5.6,4.1,10.6,1.2,6.8,10.2,5.8,-1
APBJ,14.6,-1,17.4,13.6,14.4,26.1,-1,-1,5.3,-1,14.5,17.5,19,-1,13.9,16.5,16.8,10.5,11.1,-1,23.3,24.6,10,-1,13.6,10.6,1,16.3,16.4,14.4,-1,10,14.1,20.3,23.2,14.2,15.2,-1,19.5,13,16.6,-1,15.4,-1
AKSM,7.3,22.1,-1,9.6,-1,10.9,-1,-1,15.2,-1,16.4,3.4,10.5,-1,-1,1.3,4.7,13.2,13.5,-1,13.5,10.2,12.1,-1,-1,10.5,-1,9.5,2.3,2.8,-1,-1,-1,2.7,8.3,-1,-1,-1,5.4,-1,1,8.9,1,2.2
BSC,11.2,13.1,-1,-1,-1,9.9,-1,1.7,16.4,-1,5.5,14.9,5.7,-1,-1,11.3,9.8,4.7,4.3,-1,11.5,15,4.2,-1,-1,4.3,-1,2,8.3,7.2,-1,11.7,9.3,8.8,13.1,7,-1,-1,8.5,11,10.3,3.4,11.7,7.4
BTS,3.4,-1,-1,9.1,-1,13,-1,-1,12.5,-1,15.9,7.1,10.8,-1,-1,6,1.2,7.8,7.9,-1,15.2,14.9,7.2,-1,4,5.4,-1,8.2,-1,-1,-1,8.4,1.3,-1,14.1,-1,-1,-1,-1,2.7,-1,7.6,-1,3.9
BMSC,17.4,22.8,-1,11.1,-1,-1,-1,-1,22.7,-1,12.2,13.8,7.2,-1,12.4,10.8,15.7,13.4,14.8,-1,5.6,10.6,12.8,-1,15.3,12.2,-1,10.2,10.5,8.5,-1,18.7,14.4,7.6,10.5,9.7,-1,-1,6.9,15.3,-1,12.1,-1,9.8
BBP,-1,-1,-1,8,-1,10.5,-1,-1,12.6,-1,12.7,6.7,9.7,-1,0.3,3.7,-1,7.6,8,-1,13.7,13.4,7.1,-1,2.7,5.4,-1,7.1,-1,3.7,-1,8.6,1.7,4.2,11.4,3.6,-1,-1,6,3.2,-1,6.3,-1,1.5
DCM,11.5,16.9,-1,-1,8.5,9.4,9.3,-1,18.4,-1,6.2,-1,6.3,-1,-1,10.5,8.8,6.8,5.6,-1,10.7,13.8,6.2,-1,-1,6.4,-1,0.1,7.6,6,-1,13.3,8.5,7.6,11.9,5.9,8,-1,7.3,11.4,-1,4.9,-1,6.8
EP,11.5,4,14.9,14.8,11.9,20.7,-1,-1,-1,-1,16.7,15.7,17.6,-1,-1,14.3,11.2,10.7,12.2,-1,22.8,26.4,10.1,11.2,11.2,11.2,-1,17.2,13.6,14.1,-1,4.6,10.9,18,20.9,14,-1,11.8,18.1,10.7,14.3,9.4,13.3,-1
F88,-1,-1,-1,-1,0.85,-1,-1,-1,13.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.094,-1,12.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.6,-1,-1,-1,-1,-1,-1,3.7,-1,-1,-1,-1
